library_aliquot_local_name,library_package_local_name,library_pool_local_name,library_pool_local_tube_id,library_pool_tube_barcode,library_pool_preparation_date,library_local_name,library_technique,library_r1_r2_index,library_preparation_date,library_source_type,library_avg_size_bp,library_concentration_nm,library_input_ng,library_prep_pass_fail,library_prep_set,library_quantification_fmol,library_quantification_ng,amplified_cdna_local_name,amplified_cdna_preparation_date,amplified_cdna_amplified_quantity_ng,amplified_cdna_pcr_cycles,amplified_cdna_rna_amplification_pass_fail,amplified_cdna_percent_cdna_longer_than_400bp,cdna_amplification_set,barcoded_cell_sample_local_name,barcoded_cell_sample_tag_local_name,barcoded_cell_sample_tag_description,barcoded_cell_sample_number_of_expected_cells,barcoded_cell_sample_port_well,barcoded_cell_input_quantity_count,barcoded_cell_sample_technique,enriched_cell_sample_local_name,enriched_cell_sample_preparation_date,enrichment_population,dissociated_cell_sample_local_name,dissociated_cell_sample_cell_label_barcode,dissociated_cell_sample_cell_prep_type,tissue_sample_local_name,tissue_structure,species,project_identifier,roi_id,other_species,roi_local_name,donor_local_name,age_at_death_value,age_at_death_unit,age_at_death_reference_point,age_at_death_description,donor_species,biological_sex,Species common,ROI abbrv,BCS Tag updated in Portal,Package Date,Date in Portal,Portal comments,BG_Paper_241204,NeMO Bucket,NeMO Submission ID,NeMO upload date,NeMO alignment comments,NeMO alignment date (by aliquot),NeMO alignment version,NeMO alignment jobID,NeMO alignment status,Pool_NeMOsubID
SQ_MX2088-2,AIBS-Proxy_240930_PreHMBA-backfill,MTX-2088_240930,SQ_MX2088,SQ_MX2088,6/14/2022,L8XR_220602_02_C08,10xMultiome;GEX,SI-TT-C8,6/2/2022,amplified_cdna,469,98.18831475,176.6051462,Pass,L8XR_220602_02,3436.591016,1063.762383,A8XR_220531_02_E02,5/31/2022,177,9,Pass,0.946,A8XR_220531_02,1279_B07,"Hu_BG_Circuit
Hu_BG_Core_ROI","All basal ganglia circuit regions in human, multiome
Core basal ganglia regions for basal ganglia circuit project, human, multiome.",10000,B07,15950,Multiome,"M2XM_220527_251-A_B01
M2XM_220527_251-R_B01",5/27/2022,"47% NeuN+, 35% OLIG2-, 18% OLIG2+",H19.30.004.CX49.STH.001_20220527,nan,Nuclei,H19.30.004.CX49.STH.001_Human-STH,DHBA:10466,NCBITaxon:9606,UM1MH130981 - Ed Lein,nan,1,nan,H19.30.004,58,years,birth,58 yrs,NCBITaxon:9606,Male,Human,STH,,9/30/2024,9/26/2024,complete thru aliquot qc,BG_paper_Human,nemo-tmp-kdpai5e-mtx-2088_240930,kdpai5e,11/14/2024,10X genomics multiome;rnaseq,2025-01-18T03:27:16Z,5.9.3,JobId6A4K3V14,aligned,MTX-2088_240930_kdpai5e
NY-MX22014-16,NYGC_241105_shipment,MTX-22014,NY-MX22014,K0161373,11/5/2024,L8XR_241024_21_E09,10xMultiome;GEX,SI-TT-E9,10/24/2024,amplified_cdna,522,162.2268891,34.20106007,Pass,L8XR_241024_21,5677.94112,1956.164275,A8XR_241022_01_A02,10/22/2024,34,9,Pass,0.882,A8XR_241022_01,2526_F01,HMBA_Human_Atlas|HMBA_Human_Atlas_BN_BF,"Human whole brain multiome samples. HMBA Aim 1.
HMBA human basal nuclei and basal forebrain ROIs",10000,F01,15840,Multiome,"M2XM_241021_241-R_F01
M2XM_241021_241-A_F01",10/21/2024,"70% NeuN+, 20% OLIG2-, 10% OLIG2+",20241021_H24.30.007.CX.19.PuC.01.Multiome,None,Nuclei,H24.30.007.CX.19.PuC.01_PuC,DHBA:11538,NCBITaxon:9606,UM1MH130981 - Ed Lein,,0,H24.30.007.CX.19.PuC.01,H24.30.007,61,years,birth,61 yrs,NCBITaxon:9606,Female,Human,PuC,,11/5/2024,11/5/2024,,BG_paper_Human,nemo-tmp-tkinxuj-mtx-22014,tkinxuj,12/4/2024,10X Genomics Multiome;RNAseq,2025-01-24T02:15:25Z,0,JobId6F8VQBJF,aligned,MTX-22014_tkinxuj
NY-AT26014-16,NYGC_241105_shipment,ATX-26014,NY-AT26014,A1658759,11/5/2024,L8XA_241022_01_B12,10xMultiome;ATAC,SI-NA-B12,10/22/2024,amplified_cdna,664,303.181646,0,Pass,L8XA_241022_01,6063.632919,2657.326491,B8XM_241022_01_A02,10/22/2024,nan,None,Pass,nan,B8XM_241022_01,2526_F01,HMBA_Human_Atlas|HMBA_Human_Atlas_BN_BF,"Human whole brain multiome samples. HMBA Aim 1.
HMBA human basal nuclei and basal forebrain ROIs",10000,F01,15840,Multiome,"M2XM_241021_241-R_F01
M2XM_241021_241-A_F01",10/21/2024,"70% NeuN+, 20% OLIG2-, 10% OLIG2+",20241021_H24.30.007.CX.19.PuC.01.Multiome,None,Nuclei,H24.30.007.CX.19.PuC.01_PuC,DHBA:11538,NCBITaxon:9606,UM1MH130981 - Ed Lein,,0,H24.30.007.CX.19.PuC.01,H24.30.007,61,years,birth,61 yrs,NCBITaxon:9606,Female,Human,PuC,,11/5/2024,11/5/2024,,BG_paper_Human,nemo-tmp-ja6zqeh-atx-26014,ja6zqeh,12/7/2024,10X Genomics Multiome;ATAC-seq,2025-01-24T02:15:25Z,0,JobId6F8VQBJF,aligned,ATX-26014_ja6zqeh
NY-MX12063-9,NYGC_240521_shipment,MTX-12063,NY-MX12063,A4556306,5/21/2024,L8XR_240516_21_E12,10xMultiome;GEX,SI-TT-E12,5/16/2024,amplified_cdna,487,176.9946591,250.9082108,Pass,L8XR_240516_21,6194.813067,1991.136816,A8XR_240510_01_H01,5/10/2024,251,10,Pass,0.999,A8XR_240510_01,2229_B06,HMBA_Human_Atlas|HMBA_Human_Atlas_BN_BF,"Human whole brain multiome samples. HMBA Aim 1.
HMBA human basal nuclei and basal forebrain ROIs",10000,B06,15980,Multiome,"M1XM_240509_221-R_B01
M1XM_240509_221-A_B01",5/9/2024,"50% NeuN+, 35% OLIG2-, 15% OLIG2+",20240509_H24.30.004.CX.19.Eca.01.Multiome,None,Nuclei,H24.30.004.CX.19.Eca.01_Eca,DHBA:146034742,NCBITaxon:9606,UM1MH130981 - Ed Lein,,0,H24.30.004.CX.19.Eca.01,H24.30.004,44,years,birth,44 yrs,NCBITaxon:9606,Female,Human,Eca,,5/21/2024,5/22/2024,Study Set corrected in NIMP 11/15/24; donor_local_name required all tissues,BG_paper_Human,nemo-tmp-ftcjytu-mtx-12063,ftcjytu,6/22/2024,10X genomics multiome;rnaseq,2025-01-08T16:25:17Z,0,JobId6G2QEKHN,aligned,MTX-12063_ftcjytu
NY-AT16063-9,NYGC_240521_shipment,ATX-16063,NY-AT16063,K0160525,5/21/2024,L8XA_240510_01_D09,10xMultiome;ATAC,SI-NA-D9,5/10/2024,amplified_cdna,682,214.864345,0,Pass,L8XA_240510_01,4297.286901,1934.29478,B8XM_240510_01_F02,5/10/2024,nan,None,Pass,nan,B8XM_240510_01,2229_B06,HMBA_Human_Atlas|HMBA_Human_Atlas_BN_BF,"Human whole brain multiome samples. HMBA Aim 1.
HMBA human basal nuclei and basal forebrain ROIs",10000,B06,15980,Multiome,"M1XM_240509_221-R_B01
M1XM_240509_221-A_B01",5/9/2024,"50% NeuN+, 35% OLIG2-, 15% OLIG2+",20240509_H24.30.004.CX.19.Eca.01.Multiome,None,Nuclei,H24.30.004.CX.19.Eca.01_Eca,DHBA:146034742,NCBITaxon:9606,UM1MH130981 - Ed Lein,,0,H24.30.004.CX.19.Eca.01,H24.30.004,44,years,birth,44 yrs,NCBITaxon:9606,Female,Human,Eca,,5/21/2024,5/22/2024,Study Set corrected in NIMP 11/15/24; donor_local_name required all tissues,BG_paper_Human,nemo-tmp-oh8hzcv-atx-16063,oh8hzcv,6/23/2024,10X genomics multiome;atac-seq,2025-01-08T16:25:17Z,0,JobId6G2QEKHN,aligned,ATX-16063_oh8hzcv
NY-MX22002-5,NYGC_240813_shipment,MTX-22002,NY-MX22002,A4556269,8/13/2024,L8XR_240801_02_D11,10xMultiome;GEX,SI-TT-D11,8/1/2024,amplified_cdna,488,182.0111529,413.6540713,Pass,L8XR_240801_02,6370.39035,2051.775324,A8XR_240730_01_B02,7/30/2024,414,10,Pass,0.94,A8XR_240730_01,2355_A02,HMBA_Human_Atlas|HMBA_Human_Atlas_BN_BF,"Human whole brain multiome samples. HMBA Aim 1.
HMBA human basal nuclei and basal forebrain ROIs",10000,A02,16002,Multiome,"M1XM_240729_231-A_A01
M1XM_240729_231-R_A01",7/29/2024,"50% NeuN+, 35% OLIG2-, 15% OLIG2+",20240729_H24.30.001.CX.15.PuR.01.Multiome,None,Nuclei,H24.30.001.CX.15.PuR.01_PuR,DHBA:11537,NCBITaxon:9606,UM1MH130981 - Ed Lein,,0,H24.30.001.CX.15.PuR.01,H24.30.001,18,years,birth,18 yrs,NCBITaxon:9606,Male,Human,PuR,,8/13/2024,8/13/2024,,BG_paper_Human,nemo-tmp-oed9eaj-mtx-22002,oed9eaj,9/7/2024,10X genomics multiome;rnaseq,2025-01-10T11:53:47Z,0,JobId6IJTLEOU,aligned,MTX-22002_oed9eaj
NY-AT26002-7,NYGC_240813_shipment,ATX-26002,NY-AT26002,A4540837,8/13/2024,L8XA_240730_01_A04,10xMultiome;ATAC,SI-NA-A4,7/30/2024,amplified_cdna,722,186.1534015,0,Pass,L8XA_240730_01,3723.06803,1774.116378,B8XM_240730_01_E03,7/30/2024,nan,None,Pass,nan,B8XM_240730_01,2355_A02,HMBA_Human_Atlas|HMBA_Human_Atlas_BN_BF,"Human whole brain multiome samples. HMBA Aim 1.
HMBA human basal nuclei and basal forebrain ROIs",10000,A02,16002,Multiome,"M1XM_240729_231-A_A01
M1XM_240729_231-R_A01",7/29/2024,"50% NeuN+, 35% OLIG2-, 15% OLIG2+",20240729_H24.30.001.CX.15.PuR.01.Multiome,None,Nuclei,H24.30.001.CX.15.PuR.01_PuR,DHBA:11537,NCBITaxon:9606,UM1MH130981 - Ed Lein,,0,H24.30.001.CX.15.PuR.01,H24.30.001,18,years,birth,18 yrs,NCBITaxon:9606,Male,Human,PuR,,8/13/2024,8/13/2024,,BG_paper_Human,nemo-tmp-qa62kgx-atx-26002,qa62kgx,9/8/2024,10X genomics multiome;atac-seq,2025-01-10T11:53:47Z,0,JobId6IJTLEOU,aligned,ATX-26002_qa62kgx
SQ_AT0049-3,AIBS-Proxy_240930_PreHMBA-backfill,ATX-549_240930,SQ_AT0049,SQ_AT0049,12/7/2021,L8XA_211122_01_H11,10xMultiome;ATAC,SI-NA-H11,11/22/2021,amplified_cdna,662,254.5070905,0,Pass,L8XA_211122_01,5090.14181,2223.98476,B8XM_211122_01_G02,11/22/2021,nan,nan,Pass,nan,B8XM_211122_01,954_C06,"NHP_BG_Core_ROI
NHP_BG_Circuit","Core basal ganglia regions for basal ganglia circuit project, NHP, multiome.
All Basal ganglia circuit regions in non-human primates, multiome",10000,C06,16200,Multiome,"M2XM_211119_251-R_C01
M2XM_211119_251-A_C01",11/19/2021,"25% NeuN+, 75% OLIG2-, 0% OLIG2+",QN21.26.002.CX06.GPi.001_20211119,nan,Nuclei,QN21.26.002.CX06.GPi.001_Macaque-GPi,DHBA:10344,NCBITaxon:9545,UM1MH130981 - Ed Lein,nan,1,nan,Q21.26.002,11,years,birth,11 yrs,NCBITaxon:9545,Female,Macaque,GPi,,9/30/2024,9/26/2024,complete thru aliquot qc,BG_paper_Macaque,nemo-tmp-bs2qxz6-atx-549_240930,bs2qxz6,11/12/2024,10X genomics multiome;atac-seq,2025-01-25T02:02:56Z,0,JobId6K9SHD3U,aligned,ATX-549_240930_bs2qxz6
SQ_MX2041-2,AIBS-Proxy_240930_PreHMBA-backfill,MTX-2041_240930,SQ_MX2041,SQ_MX2041,12/7/2021,L8XR_211124_02_D11,10xMultiome;GEX,SI-TT-D11,11/24/2021,amplified_cdna,480,131.9864371,450.6375903,Pass,L8XR_211124_02,4619.5253,1463.465615,A8XR_211122_02_H02,11/22/2021,451,11,Pass,0.941,A8XR_211122_02,954_C06,"NHP_BG_Core_ROI
NHP_BG_Circuit","Core basal ganglia regions for basal ganglia circuit project, NHP, multiome.
All Basal ganglia circuit regions in non-human primates, multiome",10000,C06,16200,Multiome,"M2XM_211119_251-R_C01
M2XM_211119_251-A_C01",11/19/2021,"25% NeuN+, 75% OLIG2-, 0% OLIG2+",QN21.26.002.CX06.GPi.001_20211119,nan,Nuclei,QN21.26.002.CX06.GPi.001_Macaque-GPi,DHBA:10344,NCBITaxon:9545,UM1MH130981 - Ed Lein,nan,1,nan,Q21.26.002,11,years,birth,11 yrs,NCBITaxon:9545,Female,Macaque,GPi,,9/30/2024,9/26/2024,complete thru aliquot qc,BG_paper_Macaque,nemo-tmp-rihkizf-mtx-2041_240930,rihkizf,11/14/2024,10X genomics multiome;rnaseq,2025-01-25T02:02:56Z,0,JobId6K9SHD3U,aligned,MTX-2041_240930_rihkizf
SQ_AT0048-13,AIBS-Proxy_240930_PreHMBA-backfill,ATX-548_240930,SQ_AT0048,SQ_AT0048,11/30/2021,L8XA_211122_01_G10,10xMultiome;ATAC,SI-NA-G10,11/22/2021,amplified_cdna,651,327.1530573,0,Pass,L8XA_211122_01,6543.061145,2811.291652,B8XM_211122_01_G01,11/22/2021,nan,nan,Pass,nan,B8XM_211122_01,948_C03,"NHP_BG_Core_ROI
NHP_BG_Circuit","Core basal ganglia regions for basal ganglia circuit project, NHP, multiome.
All Basal ganglia circuit regions in non-human primates, multiome",10000,C03,16200,Multiome,"M2XM_211117_251-R_C01
M2XM_211117_251-A_C01",11/17/2021,"74% NeuN+, 26% OLIG2-, 0% OLIG2+",QM21.26.003.CX08.SN-VTA.001_20211117,nan,Nuclei,QM21.26.003.CX08.SN-VTA.001_Macaque-SN-VTA,DHBA:12261,NCBITaxon:9544,UM1MH130981 - Ed Lein,nan,1,nan,QM21.26.003,5,years,birth,5 yrs,NCBITaxon:9544,Male,Macaque,SN-VTA,,9/30/2024,9/26/2024,complete thru aliquot qc,BG_paper_Macaque,nemo-tmp-scuopms-atx-548_240930,scuopms,11/11/2024,10X genomics multiome;atac-seq,2025-01-22T12:48:25Z,5.9.3,JobId6TDJ7LXC,aligned,ATX-548_240930_scuopms
SQ_MX2040-3,AIBS-Proxy_240930_PreHMBA-backfill,MTX-2040_240930,SQ_MX2040,SQ_MX2040,11/30/2021,L8XR_211124_02_G10,10xMultiome;GEX,SI-TT-G10,11/24/2021,amplified_cdna,477,59.94426132,544.3399028,Pass,L8XR_211124_02,2098.049146,660.5078322,A8XR_211122_02_C02,11/22/2021,544,10,Pass,0.93,A8XR_211122_02,948_C03,"NHP_BG_Core_ROI
NHP_BG_Circuit","Core basal ganglia regions for basal ganglia circuit project, NHP, multiome.
All Basal ganglia circuit regions in non-human primates, multiome",10000,C03,16200,Multiome,"M2XM_211117_251-R_C01
M2XM_211117_251-A_C01",11/17/2021,"74% NeuN+, 26% OLIG2-, 0% OLIG2+",QM21.26.003.CX08.SN-VTA.001_20211117,nan,Nuclei,QM21.26.003.CX08.SN-VTA.001_Macaque-SN-VTA,DHBA:12261,NCBITaxon:9544,UM1MH130981 - Ed Lein,nan,1,nan,QM21.26.003,5,years,birth,5 yrs,NCBITaxon:9544,Male,Macaque,SN-VTA,,9/30/2024,9/26/2024,complete thru aliquot qc,BG_paper_Macaque,nemo-tmp-u9bhy9z-mtx-2040_240930,u9bhy9z,11/12/2024,10X genomics multiome;rnaseq,2025-01-22T12:48:25Z,5.9.3,JobId6TDJ7LXC,aligned,MTX-2040_240930_u9bhy9z
NY-MX22011-5,NYGC_241015_shipment,MTX-22011,NY-MX22011,A1658774,10/15/2024,L8XR_241003_21_A07,10xMultiome;GEX,SI-TT-A7,10/3/2024,amplified_cdna,444,234.1150717,122.6203503,Pass,L8XR_241003_21,8194.027509,2401.177821,A8XR_241001_01_B01,10/1/2024,123,9,Pass,0.976,A8XR_241001_01,2479_A08,HMBA_Human_Atlas|HMBA_Human_Atlas_BN_BF,"Human whole brain multiome samples. HMBA Aim 1.
HMBA human basal nuclei and basal forebrain ROIs",10000,A08,16200,Multiome,"M2XM_240927_211-R_A01
M2XM_240927_211-A_A01",9/27/2024,"70% NeuN+, 20% OLIG2-, 10% OLIG2+",20240927_H21.30.004.CX.21.PuC.01.Multiome,None,Nuclei,H21.30.004.CX.21.PuC.01_PuC,DHBA:11538,NCBITaxon:9606,UM1MH130981 - Ed Lein,,0,H21.30.004.CX.21.PuC.01,H21.30.004,57,years,birth,57 yrs,NCBITaxon:9606,Male,Human,PuC,,10/15/2024,10/15/2024,,BG_paper_Human,nemo-tmp-b45iqgv-mtx-22011,b45iqgv,11/6/2024,10X genomics multiome;rnaseq,2025-01-16T21:52:26Z,5.9.3,JobId6W69YQNY,aligned,MTX-22011_b45iqgv
NY-AT26011-5,NYGC_241015_shipment,ATX-26011,NY-AT26011,A1658775,10/15/2024,L8XA_241001_01_E02,10xMultiome;ATAC,SI-NA-E2,10/1/2024,amplified_cdna,1186,131.428477,0,Pass,L8XA_241001_01,2628.56954,2057.539094,B8XM_241001_01_A01,10/1/2024,nan,None,Pass,nan,B8XM_241001_01,2479_A08,HMBA_Human_Atlas|HMBA_Human_Atlas_BN_BF,"Human whole brain multiome samples. HMBA Aim 1.
HMBA human basal nuclei and basal forebrain ROIs",10000,A08,16200,Multiome,"M2XM_240927_211-R_A01
M2XM_240927_211-A_A01",9/27/2024,"70% NeuN+, 20% OLIG2-, 10% OLIG2+",20240927_H21.30.004.CX.21.PuC.01.Multiome,None,Nuclei,H21.30.004.CX.21.PuC.01_PuC,DHBA:11538,NCBITaxon:9606,UM1MH130981 - Ed Lein,,0,H21.30.004.CX.21.PuC.01,H21.30.004,57,years,birth,57 yrs,NCBITaxon:9606,Male,Human,PuC,,10/15/2024,10/15/2024,,BG_paper_Human,nemo-tmp-urxz6uq-atx-26011,urxz6uq,11/8/2024,10Xgenomics multiome;atac-seq,2025-01-16T21:52:26Z,5.9.3,JobId6W69YQNY,aligned,ATX-26011_urxz6uq
SQ_MX2038-4,AIBS-Proxy_240930_PreHMBA-backfill,MTX-2038_240930,SQ_MX2038,SQ_MX2038,11/29/2021,L8XR_211118_02_G04,10xMultiome;GEX,SI-TT-G4,11/18/2021,amplified_cdna,465,116.7026064,328.4448625,Pass,L8XR_211118_02,4084.591222,1253.561046,A8XR_211116_01_D02,11/1/2021,328,9,Pass,0.983,A8XR_211116_01,936_D03,"NHP_BG_Circuit
NHP_BG_Core_ROI","All Basal ganglia circuit regions in non-human primates, multiome
Core basal ganglia regions for basal ganglia circuit project, NHP, multiome.",9549,D03,15375,Multiome,"M2XM_211110_251-R_D01
M2XM_211110_251-A_D01",11/10/2021,"80% NeuN+, 20% OLIG2-, 0% OLIG2+",QN21.26.010.CX45.CaB.001_20211110,nan,Nuclei,QN21.26.010.CX45.CaB.001_Macaque-CaB,DHBA:10336,NCBITaxon:9545,UM1MH130981 - Ed Lein,nan,1,nan,Q21.26.010,7,years,birth,7 yrs,NCBITaxon:9545,Male,Macaque,CaB,,9/30/2024,9/26/2024,complete thru aliquot qc,BG_paper_Macaque,nemo-tmp-gsmddiz-mtx-2038_240930,gsmddiz,11/12/2024,10X genomics multiome;rnaseq,2025-01-25T02:02:01Z,0,JobId6ZTI0UZO,aligned,MTX-2038_240930_gsmddiz
SQ_AT0046-7,AIBS-Proxy_240930_PreHMBA-backfill,ATX-546_240930,SQ_AT0046,SQ_AT0046,11/29/2021,L8XA_211116_01_H05,10xMultiome;ATAC,SI-NA-H5,11/16/2021,amplified_cdna,691,241.1851009,0,Pass,L8XA_211116_01,4823.702018,2199.897542,B8XM_211116_01_F01,11/16/2021,nan,nan,Pass,nan,B8XM_211116_01,936_D03,"NHP_BG_Circuit
NHP_BG_Core_ROI","All Basal ganglia circuit regions in non-human primates, multiome
Core basal ganglia regions for basal ganglia circuit project, NHP, multiome.",9549,D03,15375,Multiome,"M2XM_211110_251-R_D01
M2XM_211110_251-A_D01",11/10/2021,"80% NeuN+, 20% OLIG2-, 0% OLIG2+",QN21.26.010.CX45.CaB.001_20211110,nan,Nuclei,QN21.26.010.CX45.CaB.001_Macaque-CaB,DHBA:10336,NCBITaxon:9545,UM1MH130981 - Ed Lein,nan,1,nan,Q21.26.010,7,years,birth,7 yrs,NCBITaxon:9545,Male,Macaque,CaB,,9/30/2024,9/26/2024,complete thru aliquot qc,BG_paper_Macaque,nemo-tmp-484nrzt-atx-546_240930,484nrzt,11/16/2024,10X genomics multiome;atac-seq,2025-01-25T02:02:01Z,0,JobId6ZTI0UZO,aligned,ATX-546_240930_484nrzt
NY-AT16076-9,NYGC_240716_shipment,ATX-16076,NY-AT16076,K0160505,7/16/2024,L8XA_240705_02_G04,10xMultiome;ATAC,SI-NA-G4,7/5/2024,amplified_cdna,693,294.3357893,0,Pass,L8XA_240705_02,5886.715786,2692.466066,B8XM_240705_01_C01,7/5/2024,nan,None,Pass,nan,B8XM_240705_01,2306_B02,HMBA_Human_Atlas|HMBA_Human_Atlas_BN_BF,"Human whole brain multiome samples. HMBA Aim 1.
HMBA human basal nuclei and basal forebrain ROIs",10000,B02,15834,Multiome,"M1XM_240702_206-A_B01
M1XM_240702_206-R_B01",7/2/2024,"50% NeuN+, 35% OLIG2-, 15% OLIG2+",20240702_H24.30.003.CX.18.PuC.01.Multiome,None,Nuclei,H24.30.003.CX.18.PuC.01_PuC,DHBA:11538,NCBITaxon:9606,UM1MH130981 - Ed Lein,,0,H24.30.003.CX.18.PuC.01,H24.30.003,19,years,birth,19 yrs,NCBITaxon:9606,Female,Human,PuC,,7/16/2024,7/15/2024,,BG_paper_Human,nemo-tmp-p5566zg-atx-16076,p5566zg,8/14/2024,10X genomics multiome;atac-seq,2025-01-10T01:41:31Z,0,JobId73DL51LX,aligned,ATX-16076_p5566zg
NY-MX12076-9,NYGC_240716_shipment,MTX-12076,NY-MX12076,A4536387,7/16/2024,L8XR_240711_01_B08,10xMultiome;GEX,SI-TT-B8,7/11/2024,amplified_cdna,488,182.8133346,76.41806059,Pass,L8XR_240711_01,6398.46671,2060.818158,A8XR_240705_01_C01,7/5/2024,76,10,Pass,1.026,A8XR_240705_01,2306_B02,HMBA_Human_Atlas|HMBA_Human_Atlas_BN_BF,"Human whole brain multiome samples. HMBA Aim 1.
HMBA human basal nuclei and basal forebrain ROIs",10000,B02,15834,Multiome,"M1XM_240702_206-A_B01
M1XM_240702_206-R_B01",7/2/2024,"50% NeuN+, 35% OLIG2-, 15% OLIG2+",20240702_H24.30.003.CX.18.PuC.01.Multiome,None,Nuclei,H24.30.003.CX.18.PuC.01_PuC,DHBA:11538,NCBITaxon:9606,UM1MH130981 - Ed Lein,,0,H24.30.003.CX.18.PuC.01,H24.30.003,19,years,birth,19 yrs,NCBITaxon:9606,Female,Human,PuC,,7/16/2024,7/15/2024,,BG_paper_Human,nemo-tmp-b3zzxsa-mtx-12076,b3zzxsa,8/15/2024,10X genomics multiome;rnaseq,2025-01-10T01:41:31Z,0,JobId73DL51LX,aligned,MTX-12076_b3zzxsa
NY-AT16029-3,NYGC_240123_shipment,ATX-16029,NY-AT16029,A1657053,1/23/2024,L8XA_240109_01_E04,10xMultiome;ATAC,SI-NA-E4,1/9/2024,amplified_cdna,706,190.9231225,0,Pass,L8XA_240109_01,3818.46245,1779.250763,B8XM_240109_01_G03,1/9/2024,nan,nan,Pass,nan,B8XM_240109_01,2018_E01,HMBA_Human_Atlas|HMBA_Human_Atlas_BN_BF,"Human whole brain multiome samples. HMBA Aim 1.
HMBA human basal nuclei and basal forebrain ROIs",10000,E01,16031,Multiome,"M2XM_240108_226-R_E01
M2XM_240108_226-A_E01",1/8/2024,"70% NeuN+, 20% OLIG2-, 10% OLIG2+",20240108_H23.30.001.CX.20.CaT.01.Multiome,nan,Nuclei,H23.30.001.CX.20.CaT.01_CaT,DHBA:10337,NCBITaxon:9606,UM1MH130981 - Ed Lein,,0,H23.30.001.CX.20.CaT.01,H23.30.001,50,years,birth,50 yrs,NCBITaxon:9606,Male,Human,CaT,3/19/2024,1/23/2024,1/23/2024,,BG_paper_Human,nemo-tmp-ferepkk-atx-16029,ferepkk,2/20/2024,10X genomics multiome;atac-seq,2024-03-21T21:07:28Z,5.9.3,JobId7IAGY56X,aligned,ATX-16029_ferepkk
NY-MX12029-3,NYGC_240123_shipment,MTX-12029,NY-MX12029,A1657031,1/23/2024,L8XR_240111_21_G10,10xMultiome;GEX,SI-TT-G10,1/11/2024,amplified_cdna,461,149.7622095,282.0538315,Pass,L8XR_240111_21,5241.677332,1594.832745,A8XR_240109_01_E02,1/9/2024,282,9,Pass,0.98,A8XR_240109_01,2018_E01,HMBA_Human_Atlas|HMBA_Human_Atlas_BN_BF,"Human whole brain multiome samples. HMBA Aim 1.
HMBA human basal nuclei and basal forebrain ROIs",10000,E01,16031,Multiome,"M2XM_240108_226-R_E01
M2XM_240108_226-A_E01",1/8/2024,"70% NeuN+, 20% OLIG2-, 10% OLIG2+",20240108_H23.30.001.CX.20.CaT.01.Multiome,nan,Nuclei,H23.30.001.CX.20.CaT.01_CaT,DHBA:10337,NCBITaxon:9606,UM1MH130981 - Ed Lein,,0,H23.30.001.CX.20.CaT.01,H23.30.001,50,years,birth,50 yrs,NCBITaxon:9606,Male,Human,CaT,3/19/2024,1/23/2024,1/23/2024,,BG_paper_Human,nemo-tmp-tkwnwbm-mtx-12029,tkwnwbm,2/20/2024,10X genomics multiome;rnaseq,2024-03-21T21:07:28Z,5.9.3,JobId7IAGY56X,aligned,MTX-12029_tkwnwbm
NY-AT26015-9,NYGC_241112_shipment,ATX-26015,NY-AT26015,A1658760,11/12/2024,L8XA_241029_01_A02,10xMultiome;ATAC,SI-NA-A2,10/29/2024,amplified_cdna,711,237.5164878,0,Pass,L8XA_241029_01,4750.329756,2229.139741,B8XM_241029_01_F01,10/29/2024,nan,None,Pass,nan,B8XM_241029_01,2540_A02,HMBA_Human_Atlas|HMBA_Human_Atlas_BN_BF,"Human whole brain multiome samples. HMBA Aim 1.
HMBA human basal nuclei and basal forebrain ROIs",10000,A02,16137,Multiome,"M1XM_241028_241-A_A01
M1XM_241028_241-R_A01",10/28/2024,"70% NeuN+, 20% OLIG2-, 10% OLIG2+",20241028_H24.30.007.CX.17.PuR.01.Multiome,None,Nuclei,H24.30.007.CX.17.PuR.01_PuR,DHBA:11537,NCBITaxon:9606,UM1MH130981 - Ed Lein,,0,H24.30.007.CX.17.PuR.01,H24.30.007,61,years,birth,61 yrs,NCBITaxon:9606,Female,Human,PuR,,11/12/2024,11/12/2024,,BG_paper_Human,nemo-tmp-t3evm2x-atx-26015,t3evm2x,12/6/2024,10X Genomics Multiome;ATAC-seq,2025-01-25T02:07:34Z,0,JobId7JXECX1F,aligned,ATX-26015_t3evm2x
